項目名,資料区分,,,,,,,
適用,本票、補充票、高速票,,,,,,,
説明,レコードを識別する番号をいう。,,,,,,,
,,,,,,,,
コード,区分,,,,,,,
1,本票,,,,,,,
2,補充票,,,,,,,
3,高速票,,,,,,,
