項目名,地形,,,,,,,,
適用,本票,,,,,,,,
説明,交通事故が発生した場所の市街地等の地域をいう。,,,,,,,,
,「市街地」とは、道路に沿っておおむね500メートル以上にわたって、住宅、事業所又は工場等の建造物が連立し、又はこれらが混在して連立している状態であって、その地域における建造物及び敷地の占める割合が80パーセント以上になるいわゆる市街地的形態をなしている地域をいう（片側だけがこのような形態をなしている場合を含む。）。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
コード,区分,備考,,,,,,,
1,市街地－人口集中,市街地のうち国勢調査に基づき総務省が作成する「人口集中地区境界図」に人口集中地区として赤枠で表示されている地域をいう。,,,,,,,
,,,,,,,,,
2,市街地－その他,市街地のうち人口集中地区以外の地域をいう。,,,,,,,
3,非市街地,市街地以外の地域をいう。,,,,,,,
