項目名,速度規制（臨時のみ）,,,,,,,,
適用,高速票,,,,,,,,
説明,交通事故発生時、高速道路交通警察隊長等が道路交通法第５条に基づき、臨時の速度規制を行っていた場合、その最高速度をいう。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
コード,区分,備考,,,,,,,
01,20㎞/h以下,最高速度が20㎞／ｈ以下の速度規制をいう。,,,,,,,
02,30㎞/h以下,最高速度が21～30㎞／ｈの速度規制をいう。,,,,,,,
03,40㎞/h以下,最高速度が31～40㎞／ｈの速度規制をいう。,,,,,,,
04,50㎞/h以下,最高速度が41～50㎞／ｈの速度規制をいう。,,,,,,,
05,60㎞/h以下,最高速度が51～60㎞／ｈの速度規制をいう。,,,,,,,
06,70㎞/h以下,最高速度が61～70㎞／ｈの速度規制をいう。,,,,,,,
07,80㎞/h以下,最高速度が71～80㎞／ｈの速度規制をいう。,,,,,,,
00,該当なし,,,,,,,,
