項目名,トンネル番号,,,,
適用,高速票,,,,
説明,交通事故がトンネル内で発生した場合、そのトンネルの固有番号をいう。,,,,
,,,,,
コード（都道府県）,コード（路線）,コード（トンネル番号）,トンネル名,,
65,4421,065,矢田,,
65,4421,067,大古,,
65,4421,069,安宅,,
65,4421,071,周参見第１,,
65,4421,073,周参見第２,,
65,4421,075,和深川,,
65,4421,077,長井坂,,
65,4421,079,見老津第１,,
65,4421,081,見老津第２,,
65,4421,083,江住,,
65,4422,002,雄の山,,
65,4422,004,藤白,,
65,4422,006,下津,,
65,4422,008,長峰,,
65,4422,021,御坊,,
65,4422,023,塩谷,,
65,4422,025,青垣内山,,
65,4422,027,印南,,
65,4422,029,島田,,
65,4422,031,西岩代,,
65,4422,033,東岩代,,
65,4422,035,高田山,,
65,4422,037,梅の郷,,
65,4422,039,南紀田辺,,
65,4422,041,稲成,,
65,4422,043,上万呂,,
65,4422,045,平間,,
65,4422,047,十九渕第１,,
65,4422,049,十九渕第２,,
65,4422,051,富田坂第１,,
65,4422,053,富田坂第２,,
65,4422,055,要害山,,
65,4422,057,見草,,
65,4422,059,椿,,
65,4422,061,田野井第１,,
65,4422,063,田野井第２,,
65,4422,065,矢田,,
65,4422,067,大古,,
65,4422,069,安宅,,
65,4422,071,周参見第１,,
65,4422,073,周参見第２,,
65,4422,075,和深川,,
65,4422,077,長井坂,,
65,4422,079,見老津第１,,
65,4422,081,見老津第２,,
65,4422,083,江住,,
65,5009,101,知谷,,
65,5009,103,春日山城,,
65,5009,105,根来,,
65,5009,107,安上岩出,,
65,5010,101,知,,
65,5010,103,春日山城,,
65,5010,105,根来,,
65,5010,107,安上岩出,,
65,5031,009,湯浅,,
65,5031,011,柳瀬,,
65,5031,013,井関,,
65,5031,015,鳥松山,,
65,5031,017,川辺第一,,
65,5031,019,川辺第二,,
65,5032,009,湯浅,,
65,5032,011,柳瀬,,
65,5032,013,井関,,
65,5032,015,鳥松山,,
65,5032,017,川辺第一,,
65,5032,019,川辺第二,,
70,4519,451,智頭用瀬,,
70,4519,452,用瀬第一,,
70,4519,453,用瀬第二,,
70,4519,454,用瀬第三,,
70,4519,455,高津原,,
70,4519,456,片山,,
70,4519,457,下味野,,
70,4520,451,智頭用瀬,,
70,4520,452,用瀬第一,,
70,4520,453,用瀬第二,,
70,4520,454,用瀬第三,,
70,4520,455,高津原,,
70,4520,456,片山,,
70,4520,457,下味野,,
70,4523,001,添谷,,
70,4523,002,谷川,,
70,4523,003,宮原,,
70,4523,004,根雨原,,
70,4523,005,柿原,,
70,4523,006,佐川,,
70,4523,007,江府,,
70,4523,008,小江尾,,
70,4523,009,宮市,,
70,4523,011,三平山,,
70,4524,001,添谷,,
70,4524,002,谷川,,
70,4524,003,宮原,,
70,4524,004,根雨原,,
70,4524,005,柿原,,
70,4524,006,佐川,,
70,4524,007,江府,,
70,4524,008,小江尾,,
70,4524,010,宮市,,
70,4524,011,三平山,,
70,5002,051,米子第二,,
70,5002,052,米子第一,,
70,5002,053,淀江,,
70,5003,051,米子第二,,
70,5003,052,米子第一,,
70,5003,053,淀江,,
70,5012,501,駒帰,,
70,5012,502,樽見,,
70,5012,503,若杉,,
70,5012,504,美杉郷,,
70,5012,505,尾身,,
70,5012,506,大内,,
70,5012,507,毛谷,,
70,5012,508,篠坂,,
70,5012,509,上市場,,
70,5012,510,智頭,,
70,5013,501,駒帰,,
70,5013,502,樽見,,
70,5013,503,若杉,,
70,5013,504,美杉郷,,
70,5013,505,尾身,,
70,5013,506,大内,,
70,5013,507,毛谷,,
70,5013,508,篠坂,,
70,5013,509,上市場,,
70,5013,510,智頭,,
70,5040,061,高草,,
70,5040,062,二十世紀梨ふるさと,,
70,5040,063,福井内海中,,
70,5040,064,内海中常松,,
70,5040,065,気高第１,,
70,5040,066,気高第２,,
70,5040,067,重山,,
70,5040,068,鹿野気高,,
70,5040,069,気高青谷,,
70,5041,061,高草,,
70,5041,062,二十世紀梨ふるさと,,
70,5041,063,福井内海中,,
70,5041,064,内海中常松,,
70,5041,065,気高第１,,
70,5041,066,気高第２,,
70,5041,067,重山,,
70,5041,068,鹿野気高,,
70,5041,069,気高青谷,,
70,5042,070,吉川,,
70,5042,071,長和瀬,,
70,5042,072,泊,,
70,5043,070,吉川,,
70,5043,071,長和瀬,,
70,5043,072,泊,,
71,4501,001,田野原,,
71,4501,003,蔵木,,
71,4501,005,六日市,,
71,4501,007,愛宕,,
71,4501,009,蓼野,,
71,4501,011,米山,,
71,4502,002,田野原,,
71,4502,004,蔵木,,
71,4502,006,六日市,,
71,4502,008,愛宕,,
71,4502,010,蓼野,,
71,4502,012,米山,,
71,4525,313,加茂,,
71,4525,315,三刀屋,,
71,4525,341,上熊谷,,
71,4525,343,高瀬山,,
71,4525,345,川尻,,
71,4525,347,吉田,,
71,4525,349,杉戸,,
71,4525,351,大万木,,
71,4526,314,加茂,,
71,4526,316,三刀屋,,
71,4526,342,上熊谷,,
71,4526,344,高瀬山,,
71,4526,346,川尻,,
71,4526,348,吉田,,
71,4526,350,杉戸,,
71,4526,352,大万木,,
71,4529,101,後野,,
71,4529,102,本郷,,
71,4529,103,赤谷,,
71,4529,104,岩畳,,
71,4529,105,中峠,,
71,4529,106,猪子山,,
71,4530,101,後野,,
71,4530,102,本郷,,
71,4530,103,赤谷,,
71,4530,104,岩畳,,
71,4530,105,中峠,,
71,4530,106,猪子山,,
71,4531,309,来侍,,
71,4531,311,女夫岩,,
71,4531,319,神庭荒神谷,,
71,4531,321,仏教山,,
71,4531,323,船津朝山,,
71,4531,325,立巌,,
71,4531,327,姉山,,
71,4531,329,知谷古志,,
71,4531,331,新宮,,
71,4532,310,来侍,,
71,4532,312,女夫岩,,
71,4532,320,神庭荒神谷,,
71,4532,322,仏教山,,
71,4532,324,船津朝山,,
71,4532,326,立巌,,
71,4532,328,姉山,,
71,4532,330,知谷古志,,
71,4532,332,新宮,,
71,5001,301,塩津山,,
71,5001,303,意東,,
71,5001,305,揖屋,,
71,5002,302,塩津山,,
71,5002,304,意東,,
71,5002,306,揖屋,,
71,5003,307,古志原,,
71,5004,308,古志原,,
71,5005,317,うやがわ,,
71,5006,318,うやがわ,,
71,5011,351,和久羅,,
71,5012,352,和久羅,,
71,5013,201,高佐,,
71,5013,202,相生第一,,
71,5013,203,相生第二,,
71,5014,201,高佐,,
71,5014,202,相生第一,,
71,5014,203,相生第二,,
71,5015,204,中内田,,
71,5015,205,塚ヶ原山,,
71,5015,206,吉地第１,,
71,5015,207,吉地第２,,
71,5016,204,中内田,,
71,5016,205,塚ヶ原山,,
71,5016,206,吉地第１,,
71,5016,207,吉地第２,,
72,4501,001,杉坂,,
72,4501,003,北房,,
72,4501,005,呰部,,
72,4501,007,阿口,,
72,4501,009,布瀬,,
72,4501,011,大佐,,
72,4501,013,熊谷,,
72,4501,015,高尾,,
72,4501,017,新見,,
72,4502,002,杉坂,,
72,4502,004,北房,,
72,4502,006,呰部,,
72,4502,008,三尾,,
72,4502,010,布瀬,,
72,4502,012,大佐,,
72,4502,014,熊谷,,
72,4502,016,大仁子,,
72,4502,018,新見,,
72,4511,101,阿坂,,
72,4511,103,水江,,
72,4511,105,酒津,,
72,4511,107,中庄,,
72,4511,109,金田,,
72,4511,111,二子,,
72,4511,113,鼓山,,
72,4511,115,名越山,,
72,4511,117,城山,,
72,4511,119,笠井山,,
72,4511,121,宗谷山,,
72,4511,123,牟佐,,
72,4511,125,馬屋,,
72,4511,127,龍王山,,
72,4511,129,塩納,,
72,4511,131,保木,,
72,4511,133,勢力,,
72,4511,135,熊山,,
72,4511,137,奥吉原,,
72,4511,139,福富,,
72,4511,141,稲坪,,
72,4511,143,閑谷,,
72,4512,102,阿坂,,
72,4512,104,水江,,
72,4512,106,酒津,,
72,4512,108,中庄,,
72,4512,110,金田,,
72,4512,112,二子,,
72,4512,114,鼓山,,
72,4512,116,名越山,,
72,4512,118,城山,,
72,4512,120,笠井山,,
72,4512,122,宗谷山,,
72,4512,124,牟佐,,
72,4512,126,馬屋,,
72,4512,128,龍王山,,
72,4512,130,塩納,,
72,4512,132,保木,,
72,4512,134,勢力,,
72,4512,136,熊山,,
72,4512,138,奥吉原,,
72,4512,140,福富,,
72,4512,142,稲坪,,
72,4512,144,閑谷,,
72,4519,833,釜坂第二,,
72,4519,835,今岡,,
72,4519,837,中町,,
72,4519,839,大原,,
72,4519,841,江ノ原第１,,
72,4519,843,江ノ原第２,,
72,4519,845,筏津,,
72,4519,847,西粟倉,,
72,4519,849,佐渕,,
72,4520,834,釜坂第二,,
72,4520,838,中町,,
72,4520,840,大原,,
72,4520,842,江ノ原第１,,
72,4520,844,江ノ原第２,,
72,4520,846,筏津,,
72,4520,848,西粟倉,,
72,4520,850,佐渕,,
72,4521,251,塔坂,,
72,4521,252,槙谷,,
72,4521,253,有漢,,
72,4522,251,塔坂,,
72,4522,252,槙谷,,
72,4522,253,有漢,,
72,4523,201,大内原,,
72,4523,202,米来,,
72,4523,203,木谷山,,
72,4523,204,二川,,
72,4523,205,横瀬,,
72,4523,206,打井畑,,
72,4523,207,伏ヶ芽,,
72,4523,208,芦谷,,
72,4523,209,摺鉢山,,
72,4523,210,久見,,
72,4523,211,玉田山,,
72,4523,212,鳥居,,
72,4523,213,三平山,,
72,4524,201,大内原,,
72,4524,202,米来,,
72,4524,203,木谷山,,
72,4524,204,二川,,
72,4524,205,横瀬,,
72,4524,206,打井畑,,
72,4524,207,伏ヶ芽,,
72,4524,208,芦谷,,
72,4524,209,摺鉢山,,
72,4524,210,久見,,
72,4524,211,玉田山,,
72,4524,212,鳥居,,
72,4524,213,三平山,,
72,5030,301,正面山,,
72,5030,302,柳田,,
72,5030,303,塩生,,
72,5030,304,鷲羽山,,
72,5031,305,正面山,,
72,5031,306,柳田,,
72,5031,307,塩生,,
72,5031,308,鷲羽山,,
72,5033,851,あわくら,,
72,5034,852,あわくら,,
72,5035,165,湯郷第１,,
72,5035,166,湯郷第２,,
72,5036,165,湯郷第１,,
72,5036,166,湯郷第２,,
73,4501,101,中山,,
73,4501,102,中原,,
73,4501,103,牛頭山,,
73,4501,104,平,,
73,4501,105,船場,,
73,4501,106,澄合三谷,,
73,4501,107,加計東,,
73,4501,108,加計西,,
73,4501,109,戸河内,,
73,4501,110,筒賀,,
73,4501,112,椿山,,
73,4501,114,大井,,
73,4501,116,布原,,
73,4501,117,馬越,,
73,4501,118,境,,
73,4501,119,冠山,,
73,4502,201,中山,,
73,4502,202,中原,,
73,4502,204,平,,
73,4502,205,船場,,
73,4502,206,澄合三谷,,
73,4502,207,加計東,,
73,4502,208,加計西,,
73,4502,209,戸河内,,
73,4502,210,筒賀,,
73,4502,211,萩原,,
73,4502,212,椿山,,
73,4502,213,小原,,
73,4502,214,大井,,
73,4502,215,桜ケ瀬,,
73,4502,216,布原,,
73,4502,217,馬越,,
73,4502,218,境,,
73,4502,219,冠山,,
73,4502,220,牛頭山,,
73,4511,301,坂田,,
73,4511,302,牧谷,,
73,4511,303,郷分,,
73,4511,304,山手,,
73,4511,305,赤坂,,
73,4511,306,神村,,
73,4511,313,西条,,
73,4511,314,米満,,
73,4511,315,八本松,,
73,4511,316,志和,,
73,4511,317,安芸,,
73,4511,318,武田山,,
73,4511,319,水晶,,
73,4511,320,石内,,
73,4511,321,五日市,,
73,4511,323,御園,,
73,4511,326,美ノ郷,,
73,4511,327,大羽谷,,
73,4511,328,本郷,,
73,4511,329,日山地,,
73,4511,330,本谷,,
73,4511,331,竹原,,
73,4511,332,入野,,
73,4512,401,坂田,,
73,4512,402,牧谷,,
73,4512,403,郷分,,
73,4512,404,山手,,
73,4512,405,赤坂,,
73,4512,406,神村,,
73,4512,413,西条,,
73,4512,414,米満,,
73,4512,415,八本松,,
73,4512,416,志和,,
73,4512,417,安芸,,
73,4512,418,武田山,,
73,4512,419,水晶,,
73,4512,420,石内,,
73,4512,421,五日市,,
73,4512,423,御園,,
73,4512,426,美ノ郷,,
73,4512,427,大羽谷,,
73,4512,428,本郷,,
73,4512,429,日山地,,
73,4512,430,本谷,,
73,4512,431,竹原,,
73,4512,432,入野,,
73,4525,720,木ノ庄,,
73,4525,721,岩根,,
73,4525,722,貝ケ原,,
73,4525,723,宇津戸第一,,
73,4525,724,宇津戸第二,,
73,4525,725,別迫,,
73,4525,726,三玉,,
73,4525,728,長田敷地,,
73,4525,729,三良坂,,
73,4525,730,高茂,,
73,4525,731,川平,,
73,4525,732,ほたる見,,
73,4525,733,下本谷,,
73,4525,734,中本谷,,
73,4525,735,野呂谷,,
73,4525,736,麻志,,
73,4525,737,竹地谷,,
73,4525,738,大万木,,
73,4526,720,木ノ庄,,
73,4526,721,岩根,,
73,4526,722,貝ケ原,,
73,4526,723,宇津戸第一,,
73,4526,724,宇津戸第二,,
73,4526,725,別迫,,
73,4526,726,三玉,,
73,4526,728,双三,,
73,4526,729,三良坂,,
73,4526,730,高茂,,
73,4526,731,川平,,
73,4526,732,ほたる見,,
73,4526,733,下本谷,,
73,4526,734,中本谷,,
73,4526,735,野呂谷,,
73,4526,736,麻志,,
73,4526,737,竹地谷,,
73,4526,738,大万木,,
73,4527,502,竹坂,,
73,4527,503,日浦,,
73,4527,504,宮郷,,
73,4528,602,竹坂,,
73,4528,603,日浦,,
73,4528,604,宮郷,,
73,4529,605,猪子山,,
73,4530,605,猪子山,,
73,5401,324,玖波第一,,
73,5401,325,玖波第二,,
73,5402,424,玖波第一,,
73,5402,425,玖波第二,,
73,5411,618,高西,,
73,5411,619,高須,,
73,5412,620,高須,,
73,5412,621,高西,,
73,5421,610,防士,,
73,5422,622,防地,,
73,5425,623,内畠,,
73,5425,624,赤石,,
73,5426,623,内畠,,
73,5426,624,赤石,,
73,5431,701,洲江,,
73,5431,702,瀬田,,
73,5432,703,洲江,,
73,5432,704,瀬田,,
73,5441,801,福木,,
73,5442,802,福木,,
73,5442,803,金剛寺山,,
73,5451,811,溝口田万里,,
73,5451,812,下三永,,
73,5451,813,馬木宗近,,
73,5451,814,金剛山,,
73,5451,815,岩山,,
73,5451,816,郷原,,
73,5451,817,広石内,,
73,5451,818,揚山,,
73,5451,819,横路,,
73,5452,813,馬木宗近,,
73,5452,814,金剛山,,
73,5452,815,岩山,,
73,5452,816,郷原,,
73,5452,817,広石内,,
73,5452,818,揚山,,
73,5452,819,横路,,
73,5452,821,溝口田万里,,
73,5452,822,下三永,,
73,5491,911,鈴が峰,,
73,5491,912,屋代,,
73,5492,921,鈴が峰,,
73,5492,922,屋代,,
74,4501,002,冠山,,
74,4501,004,鬼ケ城山,,
74,4501,006,米山,,
74,4501,008,巣山,,
74,4501,010,高瀬,,
74,4501,012,仏坂,,
74,4501,014,根越,,
74,4502,001,冠山,,
74,4502,003,鬼ケ城山,,
74,4502,005,米山,,
74,4502,007,巣山,,
74,4502,009,高瀬,,
74,4502,011,仏坂,,
74,4502,013,根越,,
74,4511,102,小瀬,,
74,4511,104,関戸,,
74,4511,106,椿,,
74,4511,108,富海,,
74,4511,110,大平山,,
74,4511,112,天神山,,
74,4511,114,花ケ岳,,
74,4511,116,黒河内山,,
74,4511,118,戸田,,
74,4511,120,中村,,
74,4511,122,若山,,
74,4511,124,嶽山,,
74,4511,126,富岡,,
74,4511,128,桜谷,,
74,4511,130,金剛山,,
74,4511,132,上馬屋,,
74,4511,134,平原,,
74,4511,136,耳取,,
74,4511,138,生野屋第五,,
74,4511,140,生野屋第四,,
74,4511,142,生野屋第三,,
74,4511,144,生野屋第二,,
74,4511,146,生野屋第一,,
74,4511,148,竜ケ岳,,
74,4511,150,欽明路,,
74,4511,152,近延,,
74,4511,154,神之内,,
74,4511,156,御庄,,
74,4511,158,城山,,
74,4512,101,小瀬,,
74,4512,103,関戸,,
74,4512,105,椿,,
74,4512,107,富海,,
74,4512,109,大平山,,
74,4512,111,天神山,,
74,4512,113,花ケ岳,,
74,4512,115,黒河内山,,
74,4512,117,戸田,,
74,4512,119,中村,,
74,4512,121,若山,,
74,4512,123,嶽山,,
74,4512,125,富岡,,
74,4512,127,桜谷,,
74,4512,129,金剛山,,
74,4512,131,上馬屋,,
74,4512,133,平原,,
74,4512,135,耳取,,
74,4512,137,生野屋第五,,
74,4512,139,生野屋第四,,
74,4512,141,生野屋第三,,
74,4512,143,生野屋第二,,
74,4512,145,生野屋第一,,
74,4512,147,竜ケ岳,,
74,4512,149,欽明路,,
74,4512,151,近延,,
74,4512,153,神之内,,
74,4512,155,御庄,,
74,4512,157,城山,,
74,4513,160,霜降山,,
74,4513,162,菩提寺山,,
74,4513,164,有帆,,
74,4514,159,霜降山,,
74,4514,161,菩提寺山,,
74,4514,163,有帆,,
74,5003,001,小郡,,
74,5003,002,高場山,,
74,5004,001,小郡,,
74,5004,002,高場山,,
74,5005,001,大田,,
74,5005,002,中山,,
74,5005,003,長登,,
74,5005,004,鞍掛山,,
74,5006,001,大田,,
74,5006,002,中山,,
74,5006,003,長登,,
74,5006,004,鞍掛山,,
80,4601,010,浦ノ池,,
80,4601,020,水田第一,,
80,4601,030,水田第二,,
80,4601,040,秋月,,
80,4601,050,切幡,,
80,4601,060,金清,,
80,4601,070,太刀野,,
80,4601,080,池田,,
80,4601,090,新山,,
80,4601,100,白地,,
80,4601,105,新境目,,
80,4602,010,浦ノ池,,
80,4602,020,水田第一,,
80,4602,030,水田第二,,
80,4602,040,秋月,,
80,4602,050,切幡,,
80,4602,060,金清,,
80,4602,070,太刀野,,
80,4602,080,池田,,
80,4602,090,新山,,
80,4602,100,白地,,
80,4602,105,新境目,,
80,4611,290,大代古墳,,
80,4611,300,大谷,,
80,4611,410,南唱谷,,
80,4611,420,北唱谷,,
80,4611,430,大坂,,
80,4612,310,南唱谷,,
80,4612,320,北唱谷,,
80,4612,330,大坂,,
80,4612,390,大代古墳,,
80,4612,400,大谷,,
80,5035,110,第一鳴門,,
80,5035,120,第二鳴門,,
80,5035,130,撫養,,
80,5036,210,第一鳴門,,
80,5036,220,第二鳴門,,
80,5036,230,撫養,,
81,4611,109,白鳥,,
81,4611,110,大坂,,
81,4612,209,白鳥,,
81,4612,210,大坂,,
81,4613,103,眉山,,
81,4613,104,魚見山,,
81,4613,105,上之山,,
81,4613,106,鳥越,,
81,4613,107,飯山,,
81,4613,108,国分寺,,
81,4614,203,眉山,,
81,4614,204,魚見山,,
81,4614,205,上之山,,
81,4614,206,鳥越,,
81,4614,207,飯山,,
81,4614,208,国分寺,,
81,4615,111,三木,,
81,4615,112,志度,,
81,4615,113,津田,,
81,4616,211,三木,,
81,4616,212,志度,,
81,4616,213,津田,,
81,5050,111,三木,,
81,5050,112,志度,,
81,5050,113,津田,,
81,5051,211,三木,,
81,5051,212,志度,,
81,5051,213,津田,,
82,4601,201,下川,,
82,4601,203,新境目,,
82,4602,201,下川,,
82,4602,203,新境目,,
82,4603,100,的之尾,,
82,4603,102,船木,,
82,4603,104,生子山,,
82,4603,106,山根,,
82,4603,110,川口,,
82,4603,112,早川,,
82,4603,114,飯岡,,
82,4603,116,八堂山,,
82,4603,118,横山,,
82,4603,120,中野,,
82,4603,122,円山,,
82,4603,124,湯之谷,,
82,4603,126,西田,,
82,4603,128,西泉,,
82,4603,130,妙口,,
82,4603,132,大頭,,
82,4603,134,鞍瀬,,
82,4603,136,臼坂,,
82,4603,138,千羽ケ岳,,
82,4603,140,相之谷,,
82,4603,142,川内,,
82,4603,144,則之内,,
82,4603,147,明神山,,
82,4603,149,黒岩岳,,
82,4603,150,永木,,
82,4603,153,袋口,,
82,4603,155,川中,,
82,4603,157,立山,,
82,4603,159,山口,,
82,4604,101,的之尾,,
82,4604,103,船木,,
82,4604,105,生子山,,
82,4604,107,山根,,
82,4604,109,山田,,
82,4604,111,川口,,
82,4604,113,早川,,
82,4604,115,飯岡,,
82,4604,117,八堂山,,
82,4604,119,横山,,
82,4604,121,中野,,
82,4604,123,円山,,
82,4604,125,湯之谷,,
82,4604,127,西田,,
82,4604,129,西泉,,
82,4604,131,妙口,,
82,4604,133,大頭,,
82,4604,135,鞍瀬,,
82,4604,137,臼坂,,
82,4604,139,千羽ケ岳,,
82,4604,141,相之谷,,
82,4604,143,川内,,
82,4604,145,則之内,,
82,4604,147,明神山,,
82,4604,149,黒岩岳,,
82,4604,151,永木,,
82,4604,153,袋口,,
82,4604,155,川中,,
82,4604,157,立山,,
82,4604,159,山口,,
82,4613,002,鳥越,,
82,4613,004,山田井,,
82,4613,007,法皇,,
82,4613,009,大影,,
82,4613,011,黒田,,
82,4613,012,総野,,
82,4613,015,笹ケ峰,,
82,4613,017,黒木,,
82,4613,019,鳥坂,,
82,4613,021,伊崎,,
82,4613,023,歯長,,
82,4613,025,岩倉,,
82,4613,027,新屋敷,,
82,4613,029,中畑,,
82,4613,031,高光,,
82,4614,003,鳥越,,
82,4614,005,山田井,,
82,4614,007,法皇,,
82,4614,009,大影,,
82,4614,011,黒田,,
82,4614,013,総野,,
82,4614,015,笹ケ峰,,
82,4614,017,黒木,,
82,4614,019,鳥坂,,
82,4614,021,伊崎,,
82,4614,023,歯長,,
82,4614,025,岩倉,,
82,4614,027,新屋敷,,
82,4614,029,中畑,,
82,4614,031,高光,,
82,5003,301,冨士山,,
82,5004,302,冨士山,,
82,5431,705,宮窪,,
82,5431,707,吉海,,
82,5431,709,近見山,,
82,5432,706,宮窪,,
82,5432,708,吉海,,
82,5432,710,近見山,,
82,5433,401,藤江,,
82,5433,403,住吉,,
82,5433,405,坂下津,,
82,5433,407,宮下第２,,
82,5433,409,宮下第１,,
82,5433,411,内屋谷,,
82,5433,413,石丸,,
82,5433,415,祝森,,
82,5433,417,新松尾,,
82,5433,419,近家,,
82,5433,421,岩松,,
82,5434,401,藤江,,
82,5434,403,住吉,,
82,5434,405,坂下津,,
82,5434,407,宮下第２,,
82,5434,409,宮下第１,,
82,5434,411,内屋谷,,
82,5434,413,石丸,,
82,5434,415,祝森,,
82,5434,417,新松尾,,
82,5434,419,近家,,
82,5434,421,岩松,,
83,4613,101,笹ケ峰,,
83,4613,102,苅屋,,
83,4613,103,立川,,
83,4613,104,一の瀬第一,,
83,4613,105,一の瀬第二,,
83,4613,106,一の瀬第三,,
83,4613,117,逢坂山,,
83,4613,118,一宮,,
83,4613,119,薊野,,
83,4613,120,秦東,,
83,4613,121,秦,,
83,4613,122,秦西,,
83,4613,123,宇津野,,
83,4613,124,観月坂,,
83,4613,125,朝倉,,
83,4613,126,針木,,
83,4613,127,八田,,
83,4613,128,よさこい,,
83,4613,129,為貞,,
83,4613,130,成川,,
83,4613,131,細野第一,,
83,4613,132,細野第二,,
83,4613,133,新角谷,,
83,4613,134,焼坂第一,,
83,4613,135,焼坂第二,,
83,4613,136,道の川,,
83,4613,137,川崎,,
83,4613,138,久礼坂,,
83,4613,139,大坂谷,,
83,4613,140,影野,,
83,4613,207,川口,,
83,4613,208,津家,,
83,4613,209,堂々谷,,
83,4613,210,桧生,,
83,4613,211,明神,,
83,4613,212,馬瀬,,
83,4613,213,繁藤,,
83,4613,214,平山,,
83,4613,215,曽我部,,
83,4613,216,岡豊,,
83,4614,101,笹ケ峰,,
83,4614,102,苅屋,,
83,4614,103,立川,,
83,4614,104,一の瀬第一,,
83,4614,105,一の瀬第二,,
83,4614,106,一の瀬第三,,
83,4614,107,川口,,
83,4614,108,津家,,
83,4614,109,堂々谷,,
83,4614,110,桧生,,
83,4614,111,明神,,
83,4614,112,馬瀬,,
83,4614,113,繁藤,,
83,4614,114,平山,,
83,4614,115,曽我部,,
83,4614,116,岡豊,,
83,4614,117,逢坂山,,
83,4614,118,一宮,,
83,4614,119,薊野,,
83,4614,120,秦東,,
83,4614,121,秦,,
83,4614,122,秦西,,
83,4614,123,宇津野,,
83,4614,124,観月坂,,
83,4614,125,朝倉,,
83,4614,126,針木,,
83,4614,127,八田,,
83,4614,128,よさこい,,
83,4614,129,為貞,,
83,4614,133,新角谷,,
83,4614,134,焼坂第一,,
83,4614,135,焼坂第二,,
83,4614,136,道の川,,
83,4614,137,川崎,,
83,4614,138,久礼坂,,
83,4614,139,大坂谷,,
83,4614,140,影野,,
83,5001,301,お馬,,
83,5001,302,新須崎,,
83,5002,301,お馬,,
83,5002,302,新須崎,,
83,5003,303,五台山,,
83,5003,304,稲生,,
83,5004,303,五台山,,
83,5004,304,稲生,,
90,4701,101,高砂,,
90,4701,102,門司,,
90,4701,103,福智山,,
90,4701,104,金剛山,,
90,4701,105,神田,,
90,4702,106,門司,,
90,4702,107,福智山,,
90,4702,108,金剛山,,
90,4702,109,神田,,
90,4713,301,高山,,
90,4713,304,把木,,
90,4714,303,高山,,
90,4714,304,把木,,
90,4717,601,長野,,
90,4717,602,朽綱,,
90,4717,605,光国,,
90,4717,607,南原,,
90,4717,609,新津,,
90,4718,603,長野,,
90,4718,604,朽綱,,
90,4718,606,光国,,
90,4718,608,南原,,
90,4718,610,新津,,
90,4721,611,唐原山城,,
90,4722,612,唐原山城,,
90,4731,201,和布刈,,
90,4731,202,和布刈Ｒ,,
90,4731,203,大久保,,
90,4731,204,山中,,
90,4732,205,和布刈,,
90,4732,206,和布刈Ｒ,,
90,4732,207,大久保,,
90,4732,208,山中,,
90,5067,401,黒川,,
90,5067,402,奥田,,
90,5067,403,大里,,
90,5067,404,鳥越,,
90,5067,405,山路,,
90,5067,406,猪倉,,
90,5067,407,大蔵,,
90,5067,408,大谷,,
90,5067,409,河頭,,
90,5067,420,熊野,,
90,5068,410,春日,,
90,5068,411,黒川,,
90,5068,412,奥田,,
90,5068,413,大里,,
90,5068,414,鳥越,,
90,5068,415,山路,,
90,5068,416,猪倉,,
90,5068,417,大蔵,,
90,5068,418,大谷,,
90,5068,419,河頭,,
90,5068,421,熊野,,
90,5103,501,立花寺北,,
90,5104,551,立花寺北,,
90,5109,511,福大,,
90,5110,512,福大,,
90,5301,701,若戸トンネル　上り,,
90,5302,702,若戸トンネル　下り,,
91,4711,001,城原,,
91,4711,003,小城,,
91,4711,005,馬神,,
91,4711,007,杵島,,
91,4711,009,潮見,,
91,4711,011,うれしの,,
91,4711,013,不動山,,
91,4711,015,俵坂,,
91,4712,002,城原,,
91,4712,004,小城,,
91,4712,006,馬神,,
91,4712,008,杵島,,
91,4712,010,潮見,,
91,4712,012,うれしの,,
91,4712,014,不動山,,
91,4712,016,俵坂,,
92,4711,001,日岳,,
92,4711,003,俵坂,,
92,4711,005,中里,,
92,4711,006,平間,,
92,4711,007,中尾,,
92,4711,008,長崎,,
92,4712,003,俵坂,,
92,4712,004,日岳,,
92,4712,005,中里,,
92,4712,006,平間,,
92,4712,007,中尾,,
92,4712,008,長崎,,
92,5001,001,波佐見,,
92,5001,002,三川内,,
92,5001,003,天神山,,
92,5001,004,弓張,,
92,5002,001,波佐見,,
92,5002,002,三川内,,
92,5002,003,天神山,,
92,5002,004,弓張,,
92,5003,001,東長崎,,
92,5003,002,前岳,,
92,5003,003,川平,,
92,5003,004,西山,,
92,5003,005,浦上,,
92,5004,001,新東長崎,,
92,5004,002,新前岳,,
92,5004,003,川平,,
92,5004,004,西山,,
92,5004,005,浦上,,
92,5005,001,オランダ坂,,
92,5006,001,オランダ坂,,
92,5007,001,貝津,,
92,5007,002,平山貝津,,
92,5007,003,栗面平山,,
92,5008,001,貝津,,
92,5008,002,平山貝津,,
92,5008,003,栗面平山,,
93,4701,001,塚原,,
93,4701,003,大平山,,
93,4701,005,八丁山,,
93,4701,007,段,,
93,4701,009,横石,,
93,4701,011,原女木,,
93,4701,013,生名子,,
93,4701,015,馬廻,,
93,4701,017,上片岩,,
93,4701,019,坊ノ木場,,
93,4701,021,古屋敷,,
93,4701,023,大手木,,
93,4701,025,日光谷,,
93,4701,027,鮎帰,,
93,4701,029,登俣,,
93,4701,031,肥後,,
93,4701,033,白岳第１,,
